Word,Frequency Rank,Zipf Frequency,Definition
epigraph,342,2.19,"(noun) An inscription, especially on a building.; A literary quotation placed at the beginning of a book or other text. | (verb) To provide (a literary work) with an epigraph."
epistolary,296,2.3,"1. Pertaining to epistles or letters; suitable to letters and correspondence; as, an epistolary style. 2. Contained in letters; carried on by letters. ""Epistolary correspondence."" Addison."
equanimity,248,2.4,"(noun) The state of being calm, stable and composed, especially under stress."
equivocated,522,1.43,"(verb) To use words of equivocal or doubtful signification; to express one's opinions in terms which admit of different senses, with intent to deceive; to use ambiguous expressions with a view to mislead; as, to equivocate is the work of duplicity.; To render equivocal or ambiguous."
equivocation,303,2.29,"(noun) A logical fallacy resulting from the use of multiple meanings of a single expression.; The use of expressions susceptible of a double signification, possibly intentionally and with the aim of misleading."
erogenous,330,2.21,(adjective) Sensitive to sexual arousal.; Causing sexual arousal; erotogenic.
erstwhile,82,2.9,"(adjective) Former, previous.; Respected, honourable. | (adverb) Formerly; in the past."
eructation,100000,0,"(noun) The act of belching, of expelling gas from the stomach through the mouth.; An erumpent blast of gas, wind, or other matter ejected from the depths of the earth."
erudite,127,2.75,"(noun) A learned or scholarly person | (adjective) Learned, scholarly, with emphasis on knowledge gained from books."
eschewed,216,2.49,"(verb) To avoid; to shun, to shy away from."
execration,495,1.59,"1. The act of cursing; a curse dictated by violent feelings of hatred; imprecation; utter detestation expressed. Cease, gentle, queen, these execrations. Shak. 2. That which is execrated; a detested thing. Ye shall be an execration and . . . a curse. Jer. xlii. 18. Syn. -- See Malediction."
exhortations,289,2.31,(noun) The act or practice of exhorting; the act of inciting to laudable deeds; incitement to that which is good or commendable.; Language intended to incite and encourage
exigencies,371,2.12,"(noun) (chiefly in the plural) The demands or requirements of a situation.; An urgent situation, one requiring extreme effort or attention."
expostulate,554,1.22,(verb) To protest or remonstrate; to reason earnestly with a person on some impropriety of conduct.
extempore,467,1.75,(noun) Something improvised. | (adjective) Carried out with no preparation; impromptu. | (adverb) Without preparation; extemporaneously.
extricated,393,2.06,"(verb) To free, disengage, loosen, or untangle.; To free from intricacies or perplexity"
exultation,431,1.93,"(noun) The act of exulting; great joy at success or victory, or at any advantage gained; rapturous delight"
facile,172,2.61,"(adjective) Easy, now especially in a disparaging sense; contemptibly easy.; Amiable, flexible, easy to get along with."
facsimile,72,2.97,"(noun) A copy or reproduction.; A fax, a machine for making and sending copies of printed material and images via radio or telephone network. | (verb) To send via a facsimile machine; to fax.; To make a copy of; to reproduce."
fallow,99,2.83,"(noun) Ground ploughed and harrowed but left unseeded for one year.; Uncultivated land. | (adjective) (of agricultural land) Ploughed but left unseeded for more than one planting season.; (of agricultural land) Left unworked and uncropped for some amount of time. | (verb) To make land fallow for agricultural purposes. | (adjective) (color) Of a pale red or yellow, light brown; dun."
farcical,157,2.65,(adjective) Resembling a farce; ludicrous; absurd.
farrow,77,2.93,(noun) A litter of piglets. | (verb) To give birth to a (litter of piglets). | (adjective) (of cows) Not pregnant; not producing young (not calving) in a given season or year; barren.
feint,203,2.52,"(noun) A movement made to confuse the opponent; a dummy.; That which is feigned; an assumed or false appearance; a pretense or stratagem. | (verb) To make a feint, or mock attack. | (adjective) Feigned; counterfeit.; (war) (of an attack) directed toward a different part from the intended strike | (noun) The narrowest rule used in the production of lined writing paper."
ferment,95,2.85,"(noun) Something, such as a yeast or barm, that causes fermentation.; A state of agitation or of turbulent change. | (verb) To react, using fermentation; especially to produce alcohol by aging or by allowing yeast to act on sugars; to brew.; To stir up, agitate, cause unrest or excitement in."
festooned,310,2.27,"(verb) To decorate with ornaments, such as garlands or chains, which hang loosely from two tacked spots.; To make festoons."
fetlocks,542,1.29,(noun) A joint of the horse's leg below the knee or hock and above the hoof.; The tuft of hair that grows at this joint.
fetter,378,2.1,(noun) A chain or similar object used to bind a person or animal – often by its legs (usually in plural).; Anything that restricts or restrains. | (verb) To shackle or bind up with fetters.; To restrain or impede; to hamper.
fettered,460,1.79,(verb) To shackle or bind up with fetters.; To restrain or impede; to hamper. | (adjective) Bound by chains or shackles.; (by extension) Restricted.
filaments,74,2.95,"(noun) A fine thread or wire.; Such a wire, as can be heated until it glows, in an incandescent light bulb or a thermionic valve."
filial,161,2.64,(adjective) Pertaining to or befitting a son or daughter.; Respectful of the duties and attitudes of a son or daughter toward their parents.
fink,51,3.07,"(noun) A contemptible person.; An informer. | (verb) To betray a trust; to inform on. | (verb) To ponder, to go over in one's head.; To communicate to oneself in one's mind, to try to find a solution to a problem. | (verb) To seem, to appear. | (noun) Any of several birds in the family Ploceidae native to southern Africa."
firmament,183,2.57,"(noun) (usually uncountable) The vault of the heavens, where the clouds, sun, moon, and stars can be seen; the heavens, the sky.; The field or sphere of an activity or interest."
firmament’s,100000,0,"(noun) (usually uncountable) The vault of the heavens, where the clouds, sun, moon, and stars can be seen; the heavens, the sky.; The field or sphere of an activity or interest."
fitful,331,2.21,(adjective) Irregular; unsteady; characterized by fits.
flagging,100,2.83,"(verb) To furnish or deck out with flags.; To mark with a flag, especially to indicate the importance of something. | (verb) To weaken, become feeble.; To hang loose without stiffness; to bend down, as flexible bodies; to be loose, yielding, limp. | (verb) To pave with flagstones. | (noun) A pavement or sidewalk of flagstones; flagstones, collectively.; The process by which something flags or tires."
flaxen,427,1.96,(adjective) Made of or resembling flax fibers.; A pale yellow brown; the colour of dried flax stalks and of the fiber obtained therefrom.
florins,297,2.3,"(noun) The currency of Aruba, divided into 100 cents, symbol ƒ.; A pre-decimal British coin, worth two shillings or ten new pence."
follies,83,2.9,(noun) Foolishness.; Thoughtless action resulting in tragic consequence.
fratricidal,443,1.87,(adjective) Of or pertaining to fratricide
freshet,543,1.29,"(noun) A flood resulting from heavy rain or a spring thaw.; A small stream, especially one flowing into the sea."
friable,407,2.02,"(adjective) Easily broken into small fragments, crumbled, or reduced to powder.; (of soil) Loose and large-grained in consistency."
frisson,325,2.22,"(noun) A sudden surge of excitement.; A shiver, a thrill."
fulcrum,124,2.76,(noun) The support about which a lever pivots.; A crux or pivot; a central point.
furrier,440,1.89,"(noun) A person who sells, makes, repairs, alters, cleans, or otherwise deals in clothing made of fur.; A person who secures accommodation for an army. | (adjective) Covered with fur, or with something resembling fur.; Of or related to the furry subculture."
furrow,184,2.57,"(noun) A trench cut in the soil, as when plowed in order to plant a crop.; Any trench, channel, or groove, as in wood or metal. | (verb) To cut one or more grooves in (the ground, etc.).; To wrinkle."
gabardine,453,1.82,"(noun) A type of woolen cloth with a diagonal ribbed texture on one side.; A similar fabric, made from cotton."
gaily,338,2.2,(adverb) Merrily.; Showily.
gall,29,3.3,"(noun) Bile, especially that of an animal; the greenish, profoundly bitter-tasting fluid found in bile ducts and gall bladders, structures associated with the liver.; The gall bladder. | (verb) To bother or trouble.; To harass, to harry, often with the intent to cause injury."
gallant,38,3.21,"(adjective) Brave, valiant.; Honorable."
gallantry,87,2.87,"(noun) Courage; Chivalrous courtliness, especially towards women"
galvanism,546,1.27,(noun) The chemical generation of electricity.; The therapeutic use of electricity.
gams,355,2.16,"(noun) A person's leg, especially an attractive woman's leg. | (noun) Collective noun used to refer to a group of whales, or rarely also of porpoises; a pod.; (by extension) A social gathering of whalers (whaling ships). | (verb) To pay a social visit on another ship at sea.; To engage in social intercourse anywhere."
garlands,166,2.62,"(noun) A wreath, especially one of plaited flowers or leaves, worn on the body or draped as a decoration.; An accolade or mark of honour. | (verb) To deck or ornament something with a garland; To form something into a garland"
garrets,518,1.46,(noun) An attic or semi-finished room just beneath the roof of a house.
gaucho,290,2.31,(noun) A cowboy of the South American pampas.
gelding,135,2.73,(verb) To castrate a male (usually an animal).; To deprive of anything essential; to weaken. | (noun) A castrated male horse.; Any castrated male animal.
genteel,162,2.64,(adjective) Affectedly proper or refined; somewhat prudish refinement; excessively polite.; Polite and well-mannered.
gibe,424,1.97,(noun) Alternative spelling of gybe; Alternative spelling of jibe | (verb) Alternative spelling of gybe; Alternative spelling of jibe
glib,163,2.64,"(verb) To make glib. | (adjective) Having a ready flow of words but lacking thought or understanding; superficial; shallow.; Smooth or slippery. | (noun) A mass of matted hair worn down over the eyes, formerly worn in Ireland. | (verb) To castrate; to geld; to emasculate."
glibly,425,1.97,"In a glib manner; as, to speak glibly."
glommed,536,1.32,"(verb) To steal, to grab.; To stare."
glowering,410,2.01,(verb) To look or stare with anger. | (noun) The act of giving a glower.
glut,112,2.81,"(noun) An excess, too much.; That which is swallowed. | (verb) To fill to capacity; to satisfy all demand or requirement; to sate.; To eat gluttonously or to satiety."
goad,158,2.65,"(noun) A long, pointed stick used to prod animals.; That which goads or incites; a stimulus. | (verb) To prod with a goad.; To encourage or stimulate."
godling,557,1.15,A diminutive god. Dryden.
gossamer,232,2.44,"(noun) A fine film or strand as of cobwebs, floating in the air or caught on bushes, etc.; A soft, sheer fabric. | (adjective) Tenuous, light, filmy or delicate."
graft,20,3.47,"(noun) A small shoot or scion of a tree inserted in another tree, the stock of which is to support and nourish it. The two unite and become one tree, but the graft determines the kind of fruit.; A branch or portion of a tree growing from such a shoot. | (verb) To insert (a graft) in a branch or stem of another tree; to propagate by insertion in another stock; also, to insert a graft upon.; To insert scions (grafts) from one tree, or kind of tree, etc., into another; to practice grafting. | (noun) A ditch, a canal.; The depth of the blade of a digging tool such as a spade or shovel. | (noun) Corruption in official life.; Illicit profit by corrupt means, especially in public life. | (verb) To work.; To obtain illegal gain from bribery or similar corrupt practices."
grousing,465,1.76,(verb) To seek or shoot grouse. | (verb) To complain or grumble. | (noun) Peevish complaining.
guile,128,2.75,"(noun) Astuteness often marked by a certain sense of cunning or artful deception.; Deceptiveness, deceit, fraud, duplicity, dishonesty. | (verb) To deceive, beguile, bewile."
guile.,129,2.75,"(noun) Astuteness often marked by a certain sense of cunning or artful deception.; Deceptiveness, deceit, fraud, duplicity, dishonesty. | (verb) To deceive, beguile, bewile."
guineas,33,3.27,(noun) A person of Italian descent.; A gold coin originally worth twenty shillings; later (from 1717 until the adoption of decimal currency) standardised at a value of twenty-one shillings. | (noun) Any of several African birds of the family Numididae (6 species) resembling partridges.
harangue,388,2.07,"(noun) An impassioned, disputatious public speech.; A tirade, harsh scolding or rant, whether spoken or written. | (verb) To give a forceful and lengthy lecture or criticism to someone."
harridan,488,1.69,"A worn-out strumpet; a vixenish woman; a hag. Such a weak, watery, wicked old harridan, substituted for the pretty creature I had been used to see. De Quincey."
haughty,153,2.68,"1. High; lofty; bold. [Obs. or Archaic] To measure the most haughty mountain's height. Spenser. Equal unto this haughty enterprise. Spenser 2. Disdainfully or contemptuously proud; arrogant; overbearing. A woman of a haughty and imperious nature. Clarendon. 3. Indicating haughtiness; as, a haughty carriage. Satan, with vast and haughty strides advanced, Came towering. Milton."
hectoring,459,1.8,
hellcat,193,2.55,"(noun) A witch.; A spiteful and violent person, especially a woman."
hillock,237,2.42,(noun) A small hill.
historiography,102,2.82,(noun) The writing of history; a written history.; The study of the discipline and practice of history and the writings of past historians.
hitherto,43,3.15,(adverb) Up to this or that time.
hucksterish,100000,0,
huffy,332,2.21,"(adjective) Angry, annoyed, indignant or irritated.; Easily offended; thin-skinned or touchy."
hustings,249,2.4,(noun) A platform where candidates in an election give speeches; a husting.; (by extension) An election campaign.
idée fixe,507,1.53,"(noun) An idea dominating the mind and maintained despite evidence to the contrary; (loosely), an obsession.; A recurring musical theme; a leitmotif."
ignoble,318,2.24,"1. Of low birth or family; not noble; not illustrious; plebeian; common; humble. I was not ignoble of descent. Shak. Her royal stock graft with ignoble plants. Shak. 2. Not honorable, elevated, or generous; base. 'T but a base, ignoble mind, That mounts no higher than a bird can soar. Shak. Far from the madding crowd's ignoble strife. Gray. 3. (Zoöl.)  Not a true or noble falcon; -- said of certain hawks, as the goshawk. Syn. -- Degenerate; degraded; mean; base; dishonorable; reproachful; disgraceful; shameful; scandalous; infamous.

To make ignoble. [Obs.] Bacon."
ignominious,276,2.34,"1. Marked with ignominy; in curring public disgrace; dishonorable; shameful. Then first with fear surprised and sense of pain, Fled ignominious. Milton. 2. Deserving ignominy; despicable. One single, obscure, ignominious projector. Swift. 3. Humiliating; degrading; as, an ignominious judgment or sentence. Macaulay."
ignominy,298,2.3,"1. Public disgrace or dishonor; reproach; infamy. Their generals have been received with honor after their defeat; yours with ignominy after conquest. Addison. Vice begins in mistake, and ends in ignominy. Rambler. Ignominy is the infliction of such evil as is made dishonorable, or the deprivation of such good as is made honorable by the Common wealth. Hobbes. 2. An act deserving disgrace; an infamous act. Syn. -- Opprobrium; reproach; dishonor."
imbibed,319,2.24,
impelled,311,2.26,
impetuous,177,2.6,"1. Rushing with force and violence; moving with impetus; furious; forcible; violent; as, an impetuous wind; an impetuous torrent. Went pouring forward with impetuous speed. Byron. 2. Vehement in feeling; hasty; passionate; violent; as, a man of impetuous temper. The people, on their holidays, Impetuous, insolent, unquenchable. Milton. Syn. -- Forcible; rapid; hasty; precipitate; furious; boisterous; violent; raging; fierce; passionate. -- Im*pet""u*ous*ly, adv. -- Im*pet""u*ous*ness, n."
importune,523,1.43,"1. Inopportune; unseasonable. [Obs.] 2. Troublesome; vexatious; persistent; urgent; hence, vexatious on account of untimely urgency or perinacious solicitation. [Obs.] And their importune fates all satisfied. Spenser. Of all other affections it [envy] is the most importune and continual. Bacon.

1. To request or solicit, with urgency; to press with frequent, unreasonable, or troublesome application or pertinacity; hence, to tease; to irritate; to worry. Their ministers and residents here have perpetually importuned the court with unreasonable demands. Swift. 2. To import; to signify. [Obs.] ""It importunes death."" Spenser.

To require; to demand. [Obs.] We shall write to you, As time and our concernings shall importune. Shak."
imprecate,100000,0,"1. To call down by prayer, as something hurtful or calamitous. Imprecate the vengeance of Heaven on the guilty empire. Mickle. 2. To invoke evil upon; to curse; to swear at. In vain we blast the ministers of Fate, And the forlorn physicians imprecate. Rochester."
impunity,41,3.18,"Exemption or freedom from punishment, harm, or loss. Heaven, though slow to wrath, Is neimpunity defied. Cowper. The impunity and also the recompense. Holland."
inane,145,2.7,"Without contents; empty; void of sense or intelligence; purposeless; pointless; characterless; useless. ""Vague and inane instincts."" I. Taylor. -- In*ane""ly, adv.

That which is void or empty. [R.] The undistinguishable inane of infinite space. Locke."
inauspicious,255,2.39,"Not auspicious; ill-omened; unfortunate; unlucky; unfavorable. ""Inauspicious stars."" Shak. ""Inauspicious love."" Dryden. -- In`aus*pi""cious*ly, adv. -- In`aus*pi""cious*ness, n."
inauspiciously,529,1.37,
incautious,497,1.58,"Not cautious; not circumspect; not attending to the circumstances on which safety and interest depend; heedless; careless; as, an incautious step; an incautious remark. You . . . incautious tread On fire with faithless embers overspread. Francis. His rhetorical expressions may easily captivate any incautious reader. Keill. Syn. -- Unwary; indiscreet; inconsiderate; imprudent; impolitic; careless; heedless; thoughtless. -- In*cau""tious*ly, adv. -- In*cau""tious*ness, n."
incipient,195,2.54,"Beginning to be, or to show itself; commencing; initial; as, the incipient stage of a fever; incipient light of day. -- In*cip""i*ent*ly, adv."
inclemency,100000,0,"1. The state or quality of being inclement; want of clemency; want of mildness of temper; unmercifulness; severity. The inclemency of the late pope. Bp. Hall. 2. Physical severity or harshness (commonly in respect to the elements or weather); roughness; storminess; rigor; severe cold, wind, rain, or snow. The inclemencies of morning air. Pope. The rude inclemency of wintry skies. Cowper. Syn. -- Harshness; severity; cruelty; rigor; roughness; storminess; boisterousness."
incommoded,100000,0,
indefatigable,194,2.55,"Incapable of being fatigued; not readily exhausted; unremitting in labor or effort; untiring; unwearying; not yielding to fatigue; as, indefatigable exertions, perseverance, application. ""A constant, indefatigable attendance."" South. Upborne with indefatigable wings. Milton. Syn. -- Unwearied; untiring; persevering; persistent."
indelible,103,2.82,"1. That can not be removed, washed away, blotted out, or effaced; incapable of being canceled, lost, or forgotten; as, indelible characters; an indelible stain; an indelible impression on the memory. 2. That can not be annulled; indestructible. [R.] They are endued with indelible power from above. Sprat. Indelible colors, fast colors which do not fade or tarnish by exposure. -- Indelible ink, an ink obliterated by washing; esp., a solution of silver nitrate. Syn. -- Fixed; fast; permanent; ineffaceable. -- In*del""i*ble*ness, n. -- In*del""i*bly, adv. Indelibly stamped and impressed. J. Ellis."
indignant,90,2.86,"Affected with indignation; wrathful; passionate; irate; feeling wrath, as when a person is exasperated by unworthy or unjust treatment, by a mean action, or by a degrading accusation. He strides indignant, and with haughty cries To single fight the fairy prince defies. Tickell."
indolence,387,2.08,"1. Freedom from that which pains, or harasses, as toil, care, grief, etc. [Obs.] I have ease, if it may not rather be called indolence. Bp. Hough. 2. The quality or condition of being indolent; inaction, or want of exertion of body or mind, proceeding from love of ease or aversion to toil; habitual idleness; indisposition to labor; laziness; sloth; inactivity. Life spent in indolence, and therefore sad. Cowper. As there is a great truth wrapped up in ""diligence,"" what a lie, on the other hand, lurks at the root of our present use of the word ""indolence""! This is from ""in"" and ""doleo,"" not to grieve; and indolence is thus a state in which we have no grief or pain; so that the word, as we now employ it, seems to affirm that indulgence in sloth and ease is that which would constitute for us the absence of all pain. Trench."
inexorable,185,2.57,"Not to be persuaded or moved by entreaty or prayer; firm; determined; unyielding; unchangeable; inflexible; relentless; as, an inexorable prince or tyrant; an inexorable judge. ""Inexorable equality of laws."" Gibbon. ""Death's inexorable doom."" Dryden. You are more inhuman, more inexorable, O, ten times more than tigers of Hyrcania. Shak."
inimical,350,2.17,"1. Having the disposition or temper of an enemy; unfriendly; unfavorable; -- chiefly applied to private, as hostile is to public, enmity. 2. Opposed in tendency, influence, or effects; antagonistic; inconsistent; incompatible; adverse; repugnant. We are at war with a system, which, by its essence, is inimical to all other governments. Burke."
inquietude,528,1.4,Disturbed state; uneasiness either of body or mind; restlessness; disquietude. Sir H. Wotton.
insensible,379,2.1,"1. Destitute of the power of feeling or perceiving; wanting bodily sensibility. Milton. 2. Not susceptible of emotion or passion; void of feeling; apathetic; unconcerned; indifferent; as, insensible to danger, fear, love, etc.; -- often used with of or to. Accept an obligation without being a slave to the giver, or insensible to his kindness. Sir H. Wotton. Lost in their loves, insensible of shame. Dryden. 3. Incapable of being perceived by the senses; imperceptible. Hence: Progressing by imperceptible degrees; slow; gradual; as, insensible motion. Two small and almost insensible pricks were found upon Cleopatra's arm. Sir T. Browne. They fall away, And languish with insensible decay. Dryden. 4. Not sensible or reasonable; meaningless. [Obs.] If it make the indictment be insensible or uncertain, it shall be quashed. Sir M. Hale. Syn. -- Imperceptible; imperceivable; dull; stupid; torpid; numb; unfeeling; apathetic; stoical; impassive; indifferent; unsusceptible; hard; callous."
insolent,131,2.74,"1. Deviating from that which is customary; novel; strange; unusual. [Obs.] If one chance to derive any word from the Latin which is insolent to their ears . . . they forth with make a jest at it. Petti If any should accuse me of being new or insolent. Milton. 2. Haughty and contemptuous or brutal in behavior or language; overbearing; domineering; grossly rude or disrespectful; saucy; as, an insolent master; an insolent servant. ""A paltry, insolent fellow."" Shak. Insolent is he that despiseth in his judgment all other folks as in regard of his value, of his cunning, of his speaking, and of his bearing. Chaucer. Can you not see or will ye not observe . . . How insolent of late he is become, How proud, how peremptory Shak. 3. Proceeding from or characterized by insolence; insulting; as, insolent words or behavior. Their insolent triumph excited . . . indignation. Macaulay. Syn. -- Overbearing; insulting; abusive; offensive; saucy; impudent; audacious; pert; impertinent; rude; reproachful; opprobrious. -- Insolent, Insulting. Insolent, in its primitive sense, simply denoted unusual; and to act insolently was to act in violation of the established rules of social intercourse. He who did this was insolent; and thus the word became one of the most offensive in our language, indicating gross disregard for the feelings of others. Insulting denotes a personal attack, either in words or actions, indicative either of scorn or triumph. Compare Impertinent, Affront, Impudence."
insolently,493,1.63,In an insolent manner.
insuperable,437,1.9,"Incapable of being passed over or surmounted; insurmountable; as, insuperable difficulties. And middle natures, how they long to join, Yet never pass the insuperable line Pope. The difficulty is enhanced, or is . . . insuperable. I. Taylor. Syn. -- Impassable; insurmountable; unconquerable. -- In*su""per*a*ble*ness, n. -- In*su""per*a*bly, adv."
intercourse,16,3.6,"(noun) Communication, conversation.; Dealings between countries. | (verb) To have sexual intercourse."
interminably,448,1.84,Without end or limit.
internecine,306,2.28,"(adjective) Mutually destructive; most often applied to warfare.; Characterized by struggle within a group, usually applied to an ethnic or familial relationship."
intimated,196,2.54,(verb) To suggest or disclose (something) discreetly.; To notify.
intimation,333,2.21,(noun) The act of intimating.; The thing intimated.
intimations,404,2.03,(noun) The act of intimating.; The thing intimated.
inured,334,2.21,"(verb) To cause someone to become accustomed to something (usually) unpleasant.; To take effect, to be operative."
inveighed,524,1.43,"(verb) (with against or occasionally about, formerly also with on, at, upon) To complain loudly, to give voice to one's censure or criticism; To draw in or away; to entice, inveigle."
irreverent,104,2.82,(adjective) Lacking respect; not having or not showing respect for or seriousness towards something that is usually treated with respect; going against conventional precepts.
irreverently,490,1.64,In an irreverent manner.
jake,9,4.17,"(noun) A juvenile male turkey.; Police, a federal government officer. | (verb) To play a Discordian prank on (somebody), involving a large number of people sending bizarre letters or parcels to that person. | (adjective) Adequate; satisfactory; acceptable."
jaunty,212,2.5,(noun) A master-at-arms onboard a Royal Navy ship | (adjective) Airy; showy; finical.; (by extension) Characterized by an affected or fantastical manner.
jocular,335,2.21,"(adjective) Humorous, amusing or joking."
joggle,558,1.14,"(noun) A step formed in material by two adjacent reverse bends.; A notch or tooth in the joining surface of any piece of building material to prevent slipping. | (verb) To shake slightly; to push suddenly but slightly, so as to cause to shake or totter; to jostle; to jog.; To shake or totter; to slip out of place."
languid,197,2.54,"(adjective) Lacking enthusiasm, energy, or strength; drooping or flagging from weakness, fatigue, or lack of energy; Heavy; dull; dragging; wanting spirit or animation; listless; apathetic."
languor,433,1.92,"(noun) A state of the body or mind caused by exhaustion or disease and characterized by a languid or weary feeling; lassitude; an instance of this.; Melancholy caused by lovesickness, sadness, etc.; an instance of this."
lark,44,3.14,"(noun) Any of various small, singing passerine birds of the family Alaudidae.; Any of various similar-appearing birds, but usually ground-living, such as the meadowlark and titlark. | (verb) To catch larks (type of bird). | (noun) A romp, frolic, some fun.; A prank. | (verb) To sport, engage in harmless pranking.; To frolic, engage in carefree adventure."
lassitude,483,1.71,(noun) Lethargy or lack of energy; fatigue.; Listlessness or languor.
latterly,125,2.76,(adverb) Recently; to have occurred a short time before.
lecherous,277,2.34,(adjective) Given to excessive sexual activity and debauchery.
licentious,389,2.07,"(adjective) Lacking restraint, or ignoring societal standards, particularly in sexual conduct.; Disregarding accepted rules."
limeys,551,1.23,"(noun) An Englishman or other Briton, or a person of British descent."
limned,564,1.08,"(verb) To draw or paint; to delineate.; To illuminate, as a manuscript; to decorate with gold or some other bright colour. | (adjective) Described or represented in a lifelike manner"
lineaments,486,1.7,"(noun) Any distinctive shape or line, etc.; A distinctive feature that characterizes something, especially the parts of the face of an individual."
lintel,286,2.32,"(noun) A horizontal structural beam spanning an opening, such as between the uprights of a door or a window, and which supports the wall above."
litany,85,2.88,(noun) A ritual liturgical prayer in which a series of prayers recited by a leader are alternated with responses from the congregation.; A prolonged or tedious list.
lithe,219,2.48,"(verb) To go. | (adjective) Mild; calm.; Slim but not skinny. | (verb) To become calm.; To make soft or mild; soften; alleviate; mitigate; lessen; smooth; palliate. | (verb) To attend; listen, hearken.; To listen to, hearken to. | (noun) Shelter."
lithely,100000,0,"In a lithe, pliant, or flexible manner."
livid,65,2.99,"(adjective) Having a dark, bluish appearance.; Pale, pallid."
loutish,503,1.55,(adjective) Resembling a lout.
lugubrious,408,2.02,"(adjective) Gloomy, mournful or dismal, especially to an exaggerated degree."
lush,18,3.55,"(adjective) Juicy, succulent.; Mellow; soft; (of ground or soil) easily turned; fertile. | (noun) Drunkard, sot, alcoholic.; Intoxicating liquor. | (verb) To drink (liquor) to excess."
maelstrom,149,2.69,(noun) A large and violent whirlpool.; Any violent or turbulent situation.
magisterial,224,2.46,"(adjective) Befitting the status or skill of a magister or master; authoritative, masterly.; Of or pertaining to a master, magistrate, the magisterium, or one in authority."
magnanimity,326,2.22,"(noun) The quality of being magnanimous; greatness of mind; elevation or dignity of soul.; That quality or combination of qualities, in character, which enables one to encounter danger and trouble with tranquility and firmness, to disdain injustice, meanness and revenge, and to act and sacrifice for noble objectives."
malingering,426,1.97,"(verb) To feign illness, injury, or incapacitation in order to avoid work, obligation, or perilous risk.; To self-inflict real injury or infection (to inflict self-harm) in order to avoid work, obligation, or perilous risk."
manfully,400,2.05,"(adverb) In a manful manner; with the characteristics considered typical of a man, such as strength, courage, and determination."
manger,66,2.99,(noun) A trough for animals to eat from.
mansard,449,1.84,"(noun) A mansard roof; The upper storey of a building, surrounded by such a roof | (adjective) (of a roof) having two slopes on each side, the lower being steeper than the upper"
marionettes,343,2.19,"(noun) A puppet, usually made of wood, which is animated by the pulling of strings.; The buffel duck."
matter of fact,2,5.09,
maw,73,2.96,"(noun) The stomach, especially of an animal.; The upper digestive tract (where food enters the body), especially the mouth and jaws of a fearsome and ravenous creature. | (noun) Mother. | (noun) A gull."
melancholy,24,3.39,"(noun) Black bile, formerly thought to be one of the four ""cardinal humours"" of animal bodies.; Great sadness or depression, especially of a thoughtful or introspective nature. | (adjective) Affected with great sadness or depression."
mercurial,105,2.82,"1. Having the qualities fabled to belong to the god Mercury; swift; active; sprightly; fickle; volatile; changeable; as, a mercurial youth; a mercurial temperament. A mercurial man Who fluttered over all things like a fan. Byron. 2. Having the form or image of Mercury; -- applied to ancient guideposts. [Obs.] Chillingworth. 3. Of or pertaining to Mercury as the god of trade; hence, money- making; crafty. The mercurial wand of commerce. J. Q. Adams. 4. Of or pertaining to, or containing, mercury; as, mercurial preparations, barometer. See Mercury, 2. 5. (Med.)  Caused by the use of mercury; as, mercurial sore mouth.

1. A person having mercurial qualities. Bacon. 2. (Med.)  A preparation containing mercury."
meretricious,502,1.56,(adjective) Tastelessly gaudy; superficially attractive but having in reality no value or substance; falsely alluring.; Involving unlawful sexual connection or lack of consent by at least one party (said of a romantic relationship)
mesquite,136,2.73,"(noun) Any of several deciduous trees of the genus Prosopis found in North America, and used as forage, which have long, beige seed/bean pods which may be dried and ground into a sweet, nutty flour.; The wood of these trees, used for smoking food, or charcoal made from this wood."
meting,423,1.98,"(verb) To measure.; (usually with “out”) To dispense, measure (out), allot (especially punishment, reward etc.). | (noun) The act of one who metes; a distribution or handing out."
mettle,138,2.72,(noun) A quality of endurance and courage.; Good temperament and character.
mien,291,2.31,"(noun) Demeanor; facial expression or attitude, especially one which is intended by its bearer.; A specific facial expression."
minister,3,5.04,"(noun) A person who is trained to preach, to perform religious ceremonies, and to afford pastoral care at a Protestant church.; A politician who heads a ministry (national or regional government department for public service). | (verb) To attend to (the needs of); to tend; to take care (of); to give aid; to give service.; To function as a clergyman or as the officiant in church worship"
mirthful,508,1.53,(adjective) Filled with mirth.
miser,190,2.56,"(noun) A person who hoards money rather than spending it; one who is cheap or extremely parsimonious.; A kind of earth auger, typically large-bored and often hand-operated."
modicum,141,2.71,"(noun) A modest, small, or trifling amount."
mottled,126,2.76,"(verb) To mark with blotches of different color, or shades of color, as if stained; to spot; to maculate. | (adjective) Colored in patches; spotted"
nascent,48,3.08,(adjective) Emerging; just coming into existence.; Describing a quantity of object that is starting to grow from zero or an infinitesimal beginning. Also the creation or identification of an infinitesimal delta.
obdurate,411,2.01,"(verb) To harden; to obdure. | (adjective) Stubbornly persistent, generally in wrongdoing; refusing to reform or repent.; Physically hardened, toughened."
obsequious,363,2.14,"(adjective) Obedient; compliant with someone else's orders or wishes.; Excessively eager and attentive to please or to obey instructions; fawning, subservient, servile."
offals,100000,0,"(noun) The internal organs of an animal, used as animal food.; A by-product of the grain milling process, which may include bran, husks, etc."
